symbol,timeframe,no,num,profit,drawdown,win_rate,ma_long_period,ma_long_trend_th,atr_period,atr_multiply,update_count,atrp_period,profit_ma_period,profit_target,profit_drop,strategy,begin_hour,begin_minute,hours,sl_method,sl_value,trail_target,trail_stop,volume,position_max,timelimit
CL,M30,20,1561,96.475,-102.9372,0.402946829,20,0.25,10,2,3,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[2.2],0,0,0.1,2,0
CL,M15,13,1317,61.669,-93.805,0.367501898,20,0.1,15,3,8,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[3.1],0,0,0.1,2,0
DOW,H1,39,557,13393.84,-12083.7,0.400359066,45,0.05,15,1.5,5,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[200],0,0,0.1,2,0
DOW,M30,10,736,20047.99,-10567.286,0.316576087,75,0.05,20,2.5,6,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[100],0,0,0.1,2,0
DOW,M15,45,1521,13849,-19302.692,0.384615385,70,0.05,10,2,5,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[350],0,0,0.1,2,0
HK50,H1,35,770,18900.78,-14669.038,0.38961039,25,0.05,15,1,3,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[270],0,0,0.1,2,0
HK50,M30,16,668,16538,-6699.02,0.25,80,0.05,5,2.5,6,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[70],0,0,0.1,2,0
NIKKEI,H1,10,826,18353.75,-13448.37,0.382566586,50,0.05,5,1.5,2,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[350],0,0,0.1,2,0
NIKKEI,M30,37,218,7377,-4092.8,0.339449541,40,0.2,20,2,18,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[125],0,0,0.1,2,0
NSDQ,H1,36,996,11110.6,-8897.236,0.325301205,20,0.05,20,1,4,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[60],0,0,0.1,2,0
NSDQ,M30,6,938,9154.29,-6555.744,0.380597015,25,0.15,5,1.5,9,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[100],0,0,0.1,2,0
NSDQ,M15,40,650,11730.52,-5147.34,0.401538462,55,0.3,10,2.5,4,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[70],0,0,0.1,2,0
USDJPY,H1,1,513,35.208,-27.098,0.214424951,25,0.05,15,3,2,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[0.2],0,0,0.1,2,0
USDJPY,M30,8,780,32.405,-37.36,0.252564103,40,0.05,10,4,2,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[0.2],0,0,0.1,2,0
XAUUSD,H1,9,811,1413.84,-760.762,0.362515413,25,0.05,5,2,3,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[85],0,0,0.1,2,0
XAUUSD,M30,1,856,1579.27,-973.53,0.355140187,65,0.05,5,3.5,1,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[80],0,0,0.1,2,0
XAUUSD,M15,1,807,951.52,-854.672,0.377942999,40,0.2,10,4,1,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[70],0,0,0.1,2,0
DAX,H1,1,744,10601.32,-9166.62,0.366935484,30,0.05,5,1.5,5,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[225],0,0,0.1,2,0
DAX,M30,6,781,12452.49,-7217.94,0.359795134,75,0.05,20,2.5,5,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[75],0,0,0.1,2,0
DAX,M15,38,996,8214.9,-8172.32,0.325301205,65,0.1,20,4,2,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[50],0,0,0.1,2,0
FTSE,M30,5,298,3022.81,-1337.72,0.409395973,25,0.2,20,2.5,13,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[80],0,0,0.1,2,0
FTSE,M15,19,397,1254.24,-1246.82,0.20906801,50,0.25,5,4,4,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[10],0,0,0.1,2,0
